Site_Name,AQS_ID,Pollutant,Param
TARRANT,10736002,PM2.5,88101
TERRACE SKEENA ,102503,PM2.5,88101
TK Gregg,450830011,PM2.5,88101
TRNP-NU,380530002,PM2.5,88101
Tacoma-L St,530530029,PM2.5,88101
Tacoma-S 36th S,530530024,PM2.5,88101
Tacoma-S Adams ,530539998,PM2.5,88502
Taft NCore PAMS,390610040,PM2.5,88101
Tahoe City,60611004,PM2.5,88502
Taholah-Quinaul,530270011,PM2.5,88502
Taihsi ,909099465,PM2.5,88502
Tainan ,909119467,PM2.5,88502
Taitung ,909239466,PM2.5,88502
Talent - Rapp L,410290201,PM2.5,88502
Tallahassee Com,120730012,PM2.5,88502
Taos Fire Stati,350550005,PM2.5,88101
Taoyuan ,909069443,PM2.5,88502
Tecumseh,260910007,PM2.5,88101
Telluride Healt,81130004,PM2.5,88101
Temecula (Lake ,60650016,PM2.5,88502
Temiscaming,52701,PM2.5,88101
Tempe,40134005,PM2.5,88101
Temple Georgia ,480271045,PM2.5,88101
Terre Haute-Laf,181670018,PM2.5,88101
Terrebonne - Pa,50137,PM2.5,88101
Texarkana New B,480371031,PM2.5,88101
The Dalles - Ch,410650007,PM2.5,88502
Theodore Roosev,380070002,PM2.5,88101
Thibodaux,220570004,PM2.5,88502
Thomas Jefferso,482450021,PM2.5,88101
Thompson Falls,300890007,PM2.5,88502
Thousand Oaks -,61110007,PM2.5,88101
Tidewater Regio,518100008,PM2.5,88101
Tillamook Jr Hi,410570002,PM2.5,88502
Tingwick,53801,PM2.5,88101
Tioga County,421174000,PM2.5,88101
Tiverton,62501,PM2.5,88502
Toledo NE Hwy20,410410004,PM2.5,88502
Toll,320310025,PM2.5,88101
Toms River,340292002,PM2.5,88101
Tonasket,530479993,PM2.5,88502
Toppenish-Yakam,530770015,PM2.5,88101
Toronto Downtow,60445,PM2.5,88502
Toronto East,60410,PM2.5,88502
Toronto North,60440,PM2.5,88502
Toronto West,60430,PM2.5,88502
Toufen,909039472,PM2.5,88502
Towanda,420150011,PM2.5,88101
TracyAP,60773005,PM2.5,88502
Tramway,350011012,PM2.5,88101
Tranquillity,60192009,PM2.5,88101
Trenton,450370001,PM2.5,88101
Trenton,340210008,PM2.5,88101
Triple Oak - Ne,371830021,PM2.5,88101
Trois-Rivières ,55401,PM2.5,88101
Trois-Rivières ,50803,PM2.5,88101
Troost,290950034,PM2.5,88101
Truckee BAM,60571001,PM2.5,88101
Tsawwassen,100140,PM2.5,88502
Tucheng ,909029404,PM2.5,88502
Tukwila_Allento,530330069,PM2.5,88101
Tulsa,401431127,PM2.5,88101
Tunkhannock,421310010,PM2.5,88101
Turlock - S. Mi,60990006,PM2.5,88101
Turner - CJHS,410470004,PM2.5,88502
Twin Falls PM25,160830007,PM2.5,88502
Twisp-S Lincoln,530470009,PM2.5,88502
Ukiah Library,60450006,PM2.5,88502
Underhill,500070007,PM2.5,88101
Union City High,340170008,PM2.5,88101
Union Gap-4th S,530779997,PM2.5,88502
Uniontown,420510524,PM2.5,88101
Unit22,MMFS10022,PM2.5,88502
United Ave,131210055,PM2.5,88502
Utah Tech. Cent,490353015,PM2.5,88101
Ute 1,80677001,PM2.5,88502
Ute 3,80677003,PM2.5,88502
Utica,360652001,PM2.5,88502
Uxbridge,250270024,PM2.5,88101
VINTON - Herman,511611004,PM2.5,88101
V_VIEW,120110033,PM2.5,88101
Vacaville,60953003,PM2.5,88101
Valdosta,131850003,PM2.5,88101
Valemount,106101,PM2.5,88101
Vallejo,60950004,PM2.5,88101
Vancouver Airpo,100134,PM2.5,88502
Vancouver-4th P,530119997,PM2.5,88502
Vancouver-Blair,530110011,PM2.5,88502
Vancouver-Clark,100141,PM2.5,88502
Vancouver-Fort ,530119999,PM2.5,88502
Vancouver-Main ,530119995,PM2.5,88502
Vancouver-NE 84,530110024,PM2.5,88101
Vancouver-W 6th,530119998,PM2.5,88502
Vanderhoof Cour,106900,PM2.5,88101
Vermillion,460270001,PM2.5,88101
Vernal #4,490471004,PM2.5,88101
Vernon Science ,104003,PM2.5,88101
Vernon Street,440070026,PM2.5,88101
Victoria Topaz,100304,PM2.5,88101
Viking Lake Sta,191370002,PM2.5,88502
Vinton,220190009,PM2.5,88101
Virgin Valley,320030024,PM2.5,88101
Virginia,271377001,PM2.5,88101
Visalia - W Ash,61072003,PM2.5,88101
Von Ormy Highwa,480131090,PM2.5,88101
W Greenwich,440030002,PM2.5,88101
W OWEN SCH,370510009,PM2.5,88101
WATSON,211110051,PM2.5,88101
WAVELAND,280450003,PM2.5,88101
WEIRTON,540290009,PM2.5,88101
WELLINGTON,20301,PM2.5,88101
WHlthDpt,201730010,PM2.5,88101
WIND CAVE,460330132,PM2.5,88101
WTN1,TT3830001,PM2.5,88101
WTN2,TT3830002,PM2.5,88101
WY,KC,202090021,
WYLAM,10732003,PM2.5,88101
Waco C1037,483091037,PM2.5,88502
Waikoloa-21,150012021,PM2.5,88101
Walla Walla-12t,530710005,PM2.5,88502
Walnut Rec.,320032003,PM2.5,88101
Walter Johnson,320030071,PM2.5,88101
Wanhua ,909049462,PM2.5,88502
Ward,11190003,PM2.5,88101
Ware,250154002,PM2.5,88101
Warner Robins,131530001,PM2.5,88101
Warren Overlook,421230004,PM2.5,88101
Waterbury,90092123,PM2.5,88101
"Waterloo, Water",190130009,PM2.5,88502
Watertown,460290002,PM2.5,88101
Waukesha-Clevel,551330027,PM2.5,88101
Welby - 78th Av,80013001,PM2.5,88101
Wenatchee Metho,530179999,PM2.5,88502
Wenatchee-Fifth,530070011,PM2.5,88502
West Duluth,271377554,PM2.5,88101
West Phoenix,40130019,PM2.5,88101
West Yellowston,300310017,PM2.5,88101
Westlake,220190008,PM2.5,88101
Weymouth,250212005,PM2.5,88101
Whistler Meadow,105001,PM2.5,88101
White Pine,160010017,PM2.5,88502
White Plains,361192004,PM2.5,88502
White Salmon-N ,530399990,PM2.5,88502
White Springs P,120470017,PM2.5,88502
Whiteface Mtn,360310003,PM2.5,88101
Whitehorse NAPS,CC0119004,PM2.5,88101
Williams Lake C,102701,PM2.5,88101
Williams Middle,450410003,PM2.5,88101
Willits Blosser,60452003,PM2.5,88502
Willows-Colusa,60210003,PM2.5,88502
Windsor Downtow,60204,PM2.5,88502
Windsor West,60211,PM2.5,88502
Winkler Pump St,120710005,PM2.5,88101
Winthrop-Chewuc,530470010,PM2.5,88502
Wittkop Park,120866002,PM2.5,88101
Wood Buffalo Pa,129602,PM2.5,88101
Wood_River,171193007,PM2.5,88101
Woodburn Chemek,410470023,PM2.5,88502
Woodland,61131003,PM2.5,88101
Woodlawn,121130015,PM2.5,88502
Worcester - Sum,250270023,PM2.5,88101
Worland SLAMS,560430002,PM2.5,88101
Wright Mobile,560050019,PM2.5,88101
YMCA - Marion C,120830003,PM2.5,88502
Yacolt-Yacolt R,530110022,PM2.5,88502
Yakima-4th Ave,530770009,PM2.5,88101
Yakima-River Rd,530779996,PM2.5,88502
Yakima-S 9th St,530779994,PM2.5,88502
Yakima-W Viola ,530779995,PM2.5,88502
Yangming ,909049454,PM2.5,88502
Yankee,390170020,PM2.5,88101
Yellow Brick Bu,80970008,PM2.5,88101
Yellowstone- Ol,560391013,PM2.5,88101
Yelm-Bald Hill ,530679998,PM2.5,88502
Yilan,909109427,PM2.5,88502
Yonghe ,909029419,PM2.5,88502
York-Roberval,CC0050138,PM2.5,88101
York,421330008,PM2.5,88101
Youngstown Stat,390990015,PM2.5,88101
Ypsilanti,261610008,PM2.5,88101
Yreka,60932001,PM2.5,88101
Yuba City,61010003,PM2.5,88101
Yuma Supersite,40278011,PM2.5,88101
Zuoying,909079417,PM2.5,88502
